,payment_type,payment_installments,customer_city,price,product_category_name
0,credit_card,1,sao paulo,17.0,automotivo
1,credit_card,1,sao paulo,56.99,perfumaria
2,credit_card,1,belo horizonte,59.9,utilidades_domesticas
3,credit_card,1,sao paulo,14.85,moveis_decoracao
4,credit_card,1,sao paulo,49.99,consoles_games
5,credit_card,1,curitiba,87.99,cool_stuff
6,credit_card,2,sao paulo,39.0,cama_mesa_banho
7,credit_card,8,belo horizonte,94.5,cama_mesa_banho
8,boleto,1,curitiba,18.9,eletronicos
9,credit_card,2,rio de janeiro,78.0,moveis_decoracao
10,boleto,1,sao paulo,78.0,beleza_saude
11,credit_card,1,sao paulo,59.0,informatica_acessorios
12,credit_card,2,sao paulo,22.32,informatica_acessorios
13,credit_card,3,sao paulo,179.0,eletronicos
14,credit_card,1,sao paulo,15.0,automotivo
16,credit_card,8,rio de janeiro,101.24,perfumaria
17,credit_card,3,sao paulo,104.9,cama_mesa_banho
19,credit_card,1,sao paulo,29.9,beleza_saude
20,credit_card,1,sao paulo,39.9,construcao_ferramentas_jardim
21,credit_card,1,sao paulo,44.9,cama_mesa_banho
22,credit_card,1,sao paulo,59.9,ferramentas_jardim
23,credit_card,1,campinas,48.99,fashion_bolsas_e_acessorios
24,credit_card,1,sao paulo,18.45,eletrodomesticos
25,voucher,1,rio de janeiro,33.41,moveis_decoracao
27,credit_card,3,rio de janeiro,54.9,esporte_lazer
28,credit_card,3,rio de janeiro,209.9,malas_acessorios
29,debit_card,1,brasilia,19.9,informatica_acessorios
30,credit_card,2,curitiba,71.6,pet_shop
32,credit_card,8,belo horizonte,119.99,esporte_lazer
33,credit_card,4,belo horizonte,79.0,beleza_saude
34,credit_card,1,sao paulo,29.9,bebes
35,credit_card,4,sao paulo,68.65,utilidades_domesticas
36,credit_card,2,campinas,53.99,perfumaria
37,boleto,1,belo horizonte,104.9,cama_mesa_banho
38,credit_card,1,sao paulo,17.86,automotivo
41,credit_card,1,sao paulo,118.0,desconocida
42,credit_card,1,curitiba,16.9,telefonia
43,credit_card,1,campinas,149.9,informatica_acessorios
